Fecha,Producto bruto interno y demanda interna (índice 2007 = 100) - PBI,Bolsa de Valores de Lima - Montos Negociados en Bolsa (millones S/),Bolsa de Valores de Lima - Índices Bursátiles - Índice General BVL (base 31/12/91 = 100),Bolsa de Valores de Lima - Índices Bursátiles - Índice Selectivo BVL (base 31/12/91 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Financial (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Industrial (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Mining (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Services (base 30/10/98 = 100)
Ene01,64.54229449,787.5,1280.64,2199.37,n.d.,n.d.,n.d.,n.d.
Feb01,62.09281643,386.77,1291.75,2177.5,n.d.,n.d.,n.d.,n.d.
Mar01,67.65266007,820.45,1271.92,2128.54,n.d.,n.d.,n.d.,n.d.
Abr01,71.03713769,500.98,1196.92,2048.12,n.d.,n.d.,n.d.,n.d.
May01,76.46391544,581.23,1311.58,2228.2,n.d.,n.d.,n.d.,n.d.
Jun01,71.82585396,860.94,1347.01,2254.67,n.d.,n.d.,n.d.,n.d.
Jul01,74.04121589,1290.42,1331.68,2177.17,n.d.,n.d.,n.d.,n.d.
Ago01,69.58528016,671.21,1334.71,2179.99,n.d.,n.d.,n.d.,n.d.
Sep01,67.02427445,570.42,1217.95,1999.58,n.d.,n.d.,n.d.,n.d.
Oct01,72.52106597,1245.88,1139.33,1858.96,n.d.,n.d.,n.d.,n.d.
Nov01,69.34894732,1419.64,1167.46,1906.54,n.d.,n.d.,n.d.,n.d.
Dic01,73.09308208,1380.21,1176.45,1917.16,n.d.,n.d.,n.d.,n.d.
Ene02,70.34588626,1412.34,1274.28,2021.89,n.d.,n.d.,n.d.,n.d.
Feb02,66.13699952,1216.97,1285.52,2035.91,n.d.,n.d.,n.d.,n.d.
Mar02,70.48220085,810.15,1299.76,2075.93,n.d.,n.d.,n.d.,n.d.
Abr02,77.15115314,567.36,1258.35,1999.55,n.d.,n.d.,n.d.,n.d.
May02,80.81370372,781.02,1240.59,1971.32,n.d.,n.d.,n.d.,n.d.
Jun02,75.91161881,541.92,1134.93,1789.99,n.d.,n.d.,n.d.,n.d.
Jul02,76.51806991,804.64,1169.55,1841.94,n.d.,n.d.,n.d.,n.d.
Ago02,71.77728816,493.07,1195.37,1892.97,n.d.,n.d.,n.d.,n.d.
Sep02,70.93129174,487.31,1150.07,1806.78,n.d.,n.d.,n.d.,n.d.
Oct02,74.02448972,466.42,1232.92,1946.31,n.d.,n.d.,n.d.,n.d.
Nov02,74.53208328,542.28,1373.03,2167.01,n.d.,n.d.,n.d.,n.d.
Dic02,76.37281118,1830.97,1391.97,2202.32,n.d.,n.d.,n.d.,n.d.
Ene03,73.22236974,681.53,1517.4,2358.55,n.d.,n.d.,n.d.,n.d.
Feb03,71.07943228,795.27,1556.31,2426.33,n.d.,n.d.,n.d.,n.d.
Mar03,74.34272311,632.64,1558.9,2426.61,n.d.,n.d.,n.d.,n.d.
Abr03,80.6677115,510.04,1768.56,2753.61,n.d.,n.d.,n.d.,n.d.
May03,83.22264584,677.13,1808.34,2821.09,n.d.,n.d.,n.d.,n.d.
Jun03,80.85377447,569.68,1824.88,2837.18,n.d.,n.d.,n.d.,n.d.
Jul03,79.20701714,809.46,1850.17,2925.85,n.d.,n.d.,n.d.,n.d.
Ago03,74.21201385,507.25,1896.82,2970.23,n.d.,n.d.,n.d.,n.d.
Sep03,73.86783537,539.42,1980.83,3120.02,n.d.,n.d.,n.d.,n.d.
Oct03,77.59891351,720.3,2109.18,3308.88,n.d.,n.d.,n.d.,n.d.
Nov03,75.57253863,546.05,2151.18,3444.75,n.d.,n.d.,n.d.,n.d.
Dic03,78.00973241,847.07,2435.04,3993.86,n.d.,n.d.,n.d.,n.d.
Ene04,75.91326693,865.5,2730,4469.68,n.d.,n.d.,n.d.,n.d.
Feb04,74.09743592,695.75,2748.11,4637.96,n.d.,n.d.,n.d.,n.d.
Mar04,78.63546298,673.43,3035.72,5211.1,n.d.,n.d.,n.d.,n.d.
Abr04,84.09447213,898.96,2827.74,4741.52,n.d.,n.d.,n.d.,n.d.
May04,86.51057023,588.58,2926.83,4915.29,n.d.,n.d.,n.d.,n.d.
Jun04,83.28745901,795.65,2885.9,4780.53,n.d.,n.d.,n.d.,n.d.
Jul04,82.10675132,598.01,2825.45,4690.83,n.d.,n.d.,n.d.,n.d.
Ago04,77.51462292,707.98,2850.68,4716.9,n.d.,n.d.,n.d.,n.d.
Sep04,77.40259383,594.49,3278.8,5490.95,n.d.,n.d.,n.d.,n.d.
Oct04,79.63245516,640.86,3545.37,5858.85,n.d.,n.d.,n.d.,n.d.
Nov04,82.71956352,506.83,3616.72,5976.79,n.d.,n.d.,n.d.,n.d.
Dic04,85.65030207,854.52,3710.39,6159.63,n.d.,n.d.,n.d.,n.d.
Ene05,79.97916109,791.14,3881.96,6397.21,n.d.,n.d.,n.d.,n.d.
Feb05,80.13445991,437.7,4078.26,6733.19,n.d.,n.d.,n.d.,n.d.
